# native-vs-oracle baseline, one line per observable
# partition	drug_like
# members	7
# tolerance_bond_lengths	0.100000
# max_deviation_bond_lengths	0.063060	drug_like/3
# pre_orientation_compared	7	0
member	coordinate_deviation_bond_lengths
drug_like/0	0.000200
drug_like/1	0.000200
drug_like/2	0.000200
drug_like/3	0.063060
drug_like/4	0.000000
drug_like/5	0.017285
drug_like/6	0.001947
observable	compared	mismatched	ceiling_applied
clean_pose	7	0	0
coordinates	7	0	0
input_to_internal	7	0	0
internal_to_input	7	0	0
effective_bond_orders	7	0	0
bond_displays	7	0	0
atom_stereo	7	0	0
