# Parity manifest: which comparison tier each corpus input and
# observable is entitled to. Published evidence, regenerated by
# `zig build parity-manifest -Denable-oracle=true`; the portable
# gate lives in conformance/parity_expectations.tsv.
#
# Coordinate deviations are in bond lengths (one bond = 50 units)
# and are per-(architecture, toolchain, optimize-mode) values: they
# describe the build that produced this file, not a promise about
# any other build.
#
# member	bucket	atoms	status	clean_pose	arch_unstable	order_unstable	arch_max_dev_bl	order_max_dev_bl
adversarial/61	tiny	6	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/62	large	51	ok	0	coordinates,component_transforms,component_transforms_set	-	0.004	0.000
adversarial/63	medium	36	ok	0	coordinates,component_transforms,component_transforms_set	-	0.007	0.000
adversarial/64	medium	31	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/65	medium	45	ok	0	coordinates,component_transforms,component_transforms_set	-	0.002	0.000
adversarial/66	medium	41	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/67	medium	36	ok	0	coordinates,component_transforms,component_transforms_set	-	7.000	0.000
adversarial/68	medium	48	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/69	medium	32	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/70	tiny	8	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/71	large	51	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/72	medium	41	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/73	large	59	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/74	medium	38	ok	0	coordinates,component_transforms,component_transforms_set	-	9.000	0.000
adversarial/75	medium	38	ok	0	coordinates,component_transforms,component_transforms_set	-	0.011	0.000
adversarial/76	medium	36	ok	0	coordinates,component_transforms,component_transforms_set	-	0.002	0.000
adversarial/77	large	64	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/78	tiny	3	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/79	small	16	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/80	medium	30	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/81	tiny	9	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/82	large	59	ok	0	coordinates,component_transforms,component_transforms_set	-	0.004	0.000
adversarial/83	medium	47	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/84	small	16	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/85	large	67	ok	0	coordinates,component_transforms,component_transforms_set	-	0.020	0.000
adversarial/86	medium	33	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/87	large	50	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/88	small	15	ok	0	coordinates,component_transforms,component_transforms_set	-	3.499	0.000
adversarial/89	small	21	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/90	small	18	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/91	medium	35	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/92	small	25	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/93	small	25	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/94	tiny	9	ok	0	coordinates,component_transforms,component_transforms_set	-	3.466	0.000
adversarial/95	medium	35	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/96	small	20	ok	0	coordinates,component_transforms,component_transforms_set	-	0.021	0.000
adversarial/97	medium	32	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/98	small	14	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/99	small	13	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/100	large	51	ok	0	coordinates,component_transforms,component_transforms_set	-	0.002	0.000
adversarial/101	small	17	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/102	small	13	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/103	small	21	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/104	small	18	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/105	small	29	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/106	medium	44	ok	0	coordinates,component_transforms,component_transforms_set	-	1.404	0.000
adversarial/107	medium	43	ok	0	coordinates,component_transforms,component_transforms_set	-	0.002	0.000
adversarial/108	tiny	4	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/109	tiny	8	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/110	medium	40	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/111	tiny	9	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/112	small	29	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/113	medium	49	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/114	small	26	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/115	small	18	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/116	large	50	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/117	small	27	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/118	tiny	5	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/119	small	23	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/120	small	15	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/121	large	59	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/122	large	65	ok	0	coordinates,dofs,dofs_set,dof_penalties,dof_penalties_set,component_transforms,component_transforms_set	-	0.985	0.000
adversarial/123	small	27	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/124	small	20	ok	0	coordinates,component_transforms,component_transforms_set	-	2.710	0.000
adversarial/125	small	12	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/126	large	56	ok	0	coordinates,component_transforms,component_transforms_set	-	0.008	0.000
adversarial/127	large	52	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/128	small	28	ok	1	coordinates,component_transforms,component_transforms_set	-	6.482	0.000
adversarial/129	small	15	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/130	small	17	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/131	small	25	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/132	medium	39	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/133	small	29	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/134	large	53	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/135	small	26	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/136	large	51	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/137	medium	34	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/138	tiny	5	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/139	huge	72	ok	0	coordinates,component_transforms,component_transforms_set	-	0.006	0.000
adversarial/140	medium	33	ok	0	coordinates,component_transforms,component_transforms_set	-	2.000	0.000
adversarial/141	large	56	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/142	medium	44	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/143	medium	48	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/144	small	18	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/145	large	59	ok	0	coordinates,component_transforms,component_transforms_set	-	0.166	0.000
adversarial/146	medium	48	ok	0	coordinates,component_transforms,component_transforms_set	-	0.012	0.000
adversarial/147	large	58	ok	0	coordinates,component_transforms,component_transforms_set	-	0.022	0.000
adversarial/148	small	19	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
